- Eliel Aldana Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Tayson Chandía Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Moreno Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Baeza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Brandon Véliz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Axel Inostroza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Steven Donoso Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Pehuén Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Emerson Figueroa Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Fabián Salazar Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Gerson Gárate Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Isaac Herrera Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Benjamín Rodríguez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Contreras Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Bravo (2000) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Zamorano Domínguez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Vargas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Felipe Ulloa Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 33. Jovan Vega Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Adolfo Abarca Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Erick Naranjo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 33. Bayron Levín Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Paz Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Amaro Amengual Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Edruan Paredes Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Jesús Gacitúa Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Raniery Figueroa Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Adrián Obando Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Gilberto Moreno Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Miguel Valdés Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Gilberto Moreno | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Osorio (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Mauricio Tapia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rubén Araneda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Guido Seyssel | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Cristóbal Maldonado | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Esteban Vargas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Michael Fuentes Sandoval | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Camilo Quiroz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Muñoz Aravena | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Leandro Ponce | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Pehuén | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Emerson Figueroa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Fabián Salazar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marco Flores | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Gerson Gárate | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Isaac Herrera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jeremy Olivares | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marco Aedo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Olguín | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lauro Ortega | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
