- Natalia Lizana Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Pérez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Paulina Soto Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Colomba Vergara Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Darko Fiamengo (2003) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- John Salas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Meneses Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Pérez (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Williams Sáez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Marcela Rivera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- José Mejías (2004) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Henry Sanhueza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Lionel Hidalgo (2007) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Oliver (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daiana Masselli (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Bruna Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Clara Elgueta Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- María Navarrete Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Esthefanía Espinoza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Pía Jofré Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Guzmán Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristopher Medina Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Sarria Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Caroca Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Leonel Barrera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Colombo (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ronald Guzmán Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Francisco Rolando Silva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Carlos Matías Pavez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Zúñiga Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Diego Pezoa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Ricardo Blanco (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Nicolás Gauna Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Carlos Espinosa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Franco Bechtholdt Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Martín Cortés Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Ormazábal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Carlos Cisternas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Espinosa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Carlos Suárez (VEN) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Urzúa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Heber García (VEN) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Gonzalo Bustamante (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Cortés Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Yerson Opazo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Herrera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Kevin Martínez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Nicolás Núñez Gutiérrez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Corral Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Fernando Godoy (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Fernando Lazcano Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Parra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Ortíz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Adrián Sánchez (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Barrientos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Villagrán Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 35. Leonardo Angulo (COL) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- José Luis Gutiérrez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Yerko Leiva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Fritz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Nadruz (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Rodríguez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Natalia Rodríguez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Belén Gutiérrez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Alvarado Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Scarlet Castro Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Verónica Herrera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Camila Cabrera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Isidora Vásquez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Josefina Silva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Antonia Opazo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Krishna Espina Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bárbara Pavez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Denisse Gómez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Sofía Cáceres Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Estefanía Sandoval Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Camila Vergara Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mario Sandoval Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandra Orellana Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Tiare Morán Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Janitza Contreras Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Diaz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jason Flores Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Iván Garrido (2003) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Daniela Cofré Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Nayely Orellana Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Katalina Alarcón Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Martina Rivas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Valentina Pizarro Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Aracelis Araya Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ayline Sepúlveda Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Henríquez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Florencia Rojas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Jhosefa González Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Maira Pereyra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Ballini (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Méndez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Rojas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mathías Vidangossy Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sigridt Muñoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- María Escobar Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Bustos (2005) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Pía Viera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Monserrath Figueroa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Thiare Reyes Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Valdés Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Hans Ibarra (2005) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Braulio Guisolfo (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
