division,folder,reason
"tercera division b","Deportivo Pilmahue","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","Everton","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","Ferroviarios","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","Futuro","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","General Velásquez","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","Gol y Gol","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","Huachipato","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","Internacional","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","Magallanes","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","Ñublense","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","O’Higgins","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","Palestino","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","Provincial Osorno","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","Provincial Ovalle","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","Rancagua Sur","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","Rangers","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","Real San Joaquín","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","Rodelindo Román","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","San Antonio Unido","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","San Luis","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","San Marcos de Arica","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","Santiago City","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","Santiago Morning","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","Santiago Wanderers","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","Trasandino","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","Tricolor de Paine","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","Unión Española","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","Unión La Calera","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","Unión San Felipe","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","Universidad Católica","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","Universidad de Chile","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division b","Universidad de Concepción","archivo historico o carpeta archivada fuera del teams.txt activo"
