- Juan Cornejo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Salvador Sánchez (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Miguel Sanhueza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Levit Bejar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 14. María José Godoy Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Carol Ardiles Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 6. María Paz Bogado (PAR) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Graciela Flores Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Blanco Meneses Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Stefany Orozco (COL) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Claudia Maturana Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Cardozo (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Aline Bello Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Alarcón Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel Fernández Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Elvis Hernández Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Axel Cortés Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Salinas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- María Paz Bogado (PAR) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Claudia Maturana Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ashley López Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Valeria Núñez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Josefa Moya Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Lukas Soza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ivette Campos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Consuelo Martínez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Olmos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Seura Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Martina Maldonado Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Gazzolo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Joshua Arancibia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Fracchia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Kilian Delgado Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Diego Gonzalez Saavedra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Galani Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Carvajal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Jorge Orellana Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Lucas Martínez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Sebastián Martelli (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ulises Castagnoli Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Mauricio Yedro (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Cristián Canío Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Cornejo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gerardo Navarrete Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Aravena Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 34. Pablo Largo Fernández (Sub 20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 35. Joel Navarro Cáceres (Sub 20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Alejandro Melo (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Vergara (2002) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Carvajal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Abdala Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Manríquez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Maximiliano Lugo (PAR) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Gatica Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Gaspar Iñíguez (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Luis Pedro Figueroa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joe Abrigo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Villagrán Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Montero Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- José Aguilera Tapia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Carlos Carmona Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Marín Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Arenas (2000) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Harol Salgado Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Isaías Peralta Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Omar Pasten (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Martin Santibáñez (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Cortés Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Pablo Largo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Chandia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Rodrigo Millar Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Marín Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Karina Gálvez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
