- DT. Renzo Yáñez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Diego Palominos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Emilio Gálvez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio Echaniz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Peñaloza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Felipe Quezada | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Joaquín Tobar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Víctor Aranzáez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Darwin Valenzuela | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Maximiliano Valenzuela | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Jairo Sepúlveda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Allan Toledo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Ibarra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Ariel Estrada | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Nahuel Brito | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javier González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Heriberto Riveros | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Oscar Pino | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Guzmán Caroca | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Cristi | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Núñez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Darío Espíndola | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Michael Morales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Lecaros | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Pizarro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Victor Gómez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Julián Armijo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Alcayaga | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Peñaloza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristopher Ureta | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Silva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Opazo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Denylson Arriagada | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
