- 3. Lorena Villarroel Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Alarcón Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Zapata Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Lauler Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Levit Bejar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Michael Contreras Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Simón Contreras Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Eric Ahumada Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Sanhueza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Mateo Toro Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Morales (Sub 21) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Camille Iluffi Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Magdalena Osores Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Constanza Santander Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- María José Peña Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Emilia Sepúlveda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alyson Alarcón Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Victoria Osores Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Osvaldo González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Garrido Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Gutiérrez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Rodríguez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Pablo Cumián (2003) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Seura Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Natalia Ocampo (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Páez (2009) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Marina Cano Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ianna Jeraldo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Fuentes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Céfora Esparza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Ubal Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristopher Medina Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Meza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Odswart Canessa Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Yerco Oyanedel Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- David Retamal Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daniela Ortiz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ayline Barrera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Sáez (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Walter Molas (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Antonio Díaz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Espejo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Leonel González (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Moisés González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio Romero (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Pablo Abarzúa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 32. Antonio Ramírez (sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Luis Pedro Figueroa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Rojas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Camargo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Cordero Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Manríquez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Francisco Portillo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Hugo Droguett Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Josepmir Ballón Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Luis Pedro Figueroa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Maturana Caneo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Néstor Muñoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Joel Martínez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Antonio Ramírez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Sebastián Patiño (COL) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Leydy Reyes (COL) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Analía Aravena Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Jhoan González (COL) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Rabello Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Lara (2000) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mario Oporto Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Matías Cabrera (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Leonardo Povea Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Carvallo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Loreto Aravena Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Rachel Padrón Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Aída Castillo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sofía Beltrán Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jaime Carreño Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Gonzalo Córdoba (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Tapia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Quevedo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Sebastián Moya Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Paolo Fuentes (2000) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Orellana Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Opazo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Medel Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Cortés Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Santos (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mauro González (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Camila Torres Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Micaela Toloza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Emilia Sepúlveda Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Francisca Hormazábal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Tamara Avilés Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Consuelo Ruiz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Khishna Contreras Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Francisca Irribarra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Valentina Barra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Molina Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Ragusa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Sandoval Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Riquelme (2002) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Pino Rozas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Krishna Contreras Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alfred Canales Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Valeria Nuñez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Díaz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Hernán Astudillo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Giovanny Avalos (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Krishna Contreras Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Loreto Aravena Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Arantxa Araneda Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Camila Gómez Ares (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Tamara Avilés Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Isidora Sepúlveda Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Constanza Reyes Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carolina Acuña Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Micaela Toloza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Julieta Melimán Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Gallegos (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Ortiz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Antonella Henríquez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Martínez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Braian Miranda (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Olmedo (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Damián Lemos (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Elisa Pérez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Gutiérrez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sharon Ramírez (COL) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jeison Fuentealba Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Brahian Alemán (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Huerta (2004) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luciano Ferreyra (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Karen Coloma Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Renato Cordero Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Moogli Debouzy Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ana Aravena Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Pedro García (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Lincopán (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mijael Muñoz (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nicole Fajre Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Catherine Monsálvez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Ogaz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Romo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Zambrano (2008) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ailén Martínez (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matilda Aranda Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Rojas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Harol Salgado Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Mussis (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ariel Uribe Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cristhofer Mesías Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Facundo Mater (SIR) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Herrera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jesús Mora Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Parra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jean Paul Pineda Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Jonathan Benítez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Guido Vadalá (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 11. José Huentelaf Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Riveros (PAR) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Orellana Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio Rubio Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Steffan Pino Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Walter Ponce Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Franchesca Caniguán Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Pavez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Reveco Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Antonia Alarcón Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Priscila Hidalgo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Gonzalo Bueno (URU) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Joaquín Avilés (Sub 21) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
