- Franco Ledesma (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ítalo Müller Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Elizabeth Núñez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Mizala Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Cubillos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Cazula (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Aguirre (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Yerko Águila Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Vilches Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Gaete Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Giovanni Arnáez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Flores Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Ávila Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Iturra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Renato González Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 36. Mauricio Arias (Sub 20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nahuel Donadell Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Faúndez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 32. Ramón Sáez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- José Aguilera Tapia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Avilés Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Cristian Barrientos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Báez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Gaspar Iñíguez (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Kilian Delgado Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Misael Llantén Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Piero Gárate Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Arias (2001) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Vilches (2000) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Diego Ochoa (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 34. Wilfredo Vargas (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Bravo Naranjo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 40. Luis Torres Moroso (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 55. Francisco Anabalón (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Rosales Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Natalia Pérez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Yeresim Jiménez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Vásquez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Luara Arrau Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Valentina Toledo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Marlene Terrazas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Polette Corretea Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Catalina Lagos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Mikaela Ojeda Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Jaime Opazo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alexander Concha Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Monardes Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Dennis Valderrama Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Blanca Jiménez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mikel Arguinarena Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Byron Hermosilla Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Farías Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jimmy Cisterna Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. María Raquel González Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Elizabeth Díaz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Tamara Ardiles Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alfredo Rosales (2008) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mayori Flores Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Rivera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Evolet Araya Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Karen Villegas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Plaza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Rencoret Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Facundo Velazco (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Aylin Tamburrini Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamin Ramirez (2005) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Geraldy Llusco Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Martina Leiva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Betza Choque Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ramón Fernández Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Isaac Orrego (2007) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
