- Ignacio Contreras Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Marcel Cortez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Hidalgo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Osorio (2004) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Guaiquil Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Silva Álamos (2000) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Monreal (2004) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Sanhueza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Carrera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alan Riquelme (2003) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Pablo Reyes (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Yago Piro (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Darko Fiamengo (2003) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Raimundo Álvarez (2004) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Martín Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Luciano Díaz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Isaías Peralta Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Pablo Carrasco Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Álvarez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Nicolás Pizarro Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Bruno Martini Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Brayan Romero (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Javier Donoso (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Eduardo Leal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Joaquín Muñoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Lagües Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Misael Llantén Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Luciano Díaz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Leiva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Julián Bernal (Sub 20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Nicolás Millar (Sub 20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Eriksson Mikacic Montenegro (Sub 20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Daniel Benavides Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Isidro Pastén Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Guzmán Cea Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Cristián Abreu (VEN) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Sepúlveda (2008) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Antonio Villagrán (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Matías Farías (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Michael Ríos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Sebastian Villavicencio Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Giovanni Asken Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Joaquín Aguilera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Ariel Urrutia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Diego Soto Berrios Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Jhoan González (COL) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Sandoval Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Andrey Mantilla (COL) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Matías Pavez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Daniel Faúndez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gerardo Cortés Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Jaime Valdés Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Josué Ovalle Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juan López Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Kevin Martínez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Nicolás Higueras Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ricardo Matamala Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Camilo Pontoni Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Orellana Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Jaque Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Brian Leiva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Valdés Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Sebastián Sasso Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Abán (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Pablo Largo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alexis Villarroel Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Antonio Villagrán Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Federico Caresio Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Bracho (PAR) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Monje (2003) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel Espina Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Lara (2000) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Jaime (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Muñoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bruno Álvarez (2002) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Michael Silva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- David Sidan Núñez (2001) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Azúa (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Astete Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ramón Fernández Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Gómez Astudillo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Maturana Caneo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Romo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Albornoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Pérez (2003) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jimmy Cisterna Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- René Meléndez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Olguín (2005) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Ortega (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- José Peña Vallejos (2005) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jesús Arancibia (2001) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Poza (2004) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Urra (2005) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Zederick Vega (2000) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Jairo Guzmán (Sub-20) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Axel Machuca (Sub 21) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Bryan Rojas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Gabriel Williams Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Matías García Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Frances Sepúlveda Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Claudio Latorre Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Francisco Castillo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Pinilla Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Pablo González Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Mesías Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Cristhian Cárdenas (Sub 21) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Humberto Suazo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Héctor Vega Guerra Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Aravena Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Wilson Martínez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Ricardo González Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Campos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Joaquín Avilés (Sub 21) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Alexander Valencia (COL) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Diego Alvarado Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Emiliano Bahamondes Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Venegas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Fernando Quiroz Calderón Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Pablo Vranjicán (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Castañeda Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Sergio Riffo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Junio Lopes (BRA) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Gattas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gustavo Lanaro Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Forttes Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- José Tomás Herrera Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Mitchell Wassenne Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Paredes Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Sepúlveda Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Cuéllar Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Luca Pontigo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Brian Mondaca Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Derlis Alegre (PAR) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Sandoval (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Mauro Lopes Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Tellas (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Dilan Acevedo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Yerald Pinilla Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Díaz Dueñas (2001) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Maturana Lucero (2007) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Freddy Ferragut Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Francisco Huerta Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Marco Muñoz Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Ariel Pereyra Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
