- 33. Enzo Ruiz (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Miguel Binimelis Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Lucas Meza (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Mario Pardo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Soto Riffo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Ignacio Sills (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Carrera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daniela Muñoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Rojas Zepeda (2004) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Ledesma (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Durán Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Paulo Magalhaes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Miguel Sanhueza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Yaritza Mamani Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Eliana Olaya (COL) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Franchesca Acuña Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Cuevas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Natacha Belmar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Javiera Salvo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Leyza Rojas (COL) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Aros Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Novillo (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Casanova Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Yonathan Andía Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ronald De la Fuente Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Perla Sánchez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Rodríguez (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Karen Hermosilla (PAR) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Giuliana Mordini (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Pablo Gómez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Jorquera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Tiago Ferreyra (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diana Díaz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
