- Flavio Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 22. María José Garay Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Antonia Vargas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Alexia Gallardo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Consuelo Martínez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Krishna Soto Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Constanza Muñoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Byron Guajardo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- José Navarrete Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Villegas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Luciano Ruiz (Sub 21) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Torres Medina (2000) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Vidal Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Silva Álamos (2000) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Richard Monges (PAR) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Catalina Huentelicán Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Clara Elgueta Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- María Navarrete Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Tamara Gélvez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Vania Oyarzo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Nayeli Soto Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Krisna Loncón Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- María Silva Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Laetitia Binimelis Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Elizabeth Núñez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermina Cotellessa (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Catejo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Josué González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Abel Hidalgo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Lagos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Riveros Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Cortés (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Rodríguez (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Ormeño Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Miguel Toledo (2004) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ariel Morales (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Byron Nieto Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Clemente Parra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jesús Pino Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Egaña Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Hernán Albano Becica (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Leandro Delgado Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Braulio Baeza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 20. José Pérez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Ricardo González Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Gerson Valle Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Gustavo Gallardo (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Sergio Sandoval (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Rosas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Cristián López (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Caroca Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Matías Caroca Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alonso Rodríguez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Souper Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Byron Bustamante Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gino Alucema Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gustavo Gallardo (2001) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Lemmo (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Jonathan Rebolledo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Matías Rosas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Octavio Pozo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Andrés Souper (Sub 20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Valdivia (Sub-21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- David Villegas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- José Pérez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Caroca Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 33. José Pizarro (Sub 20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Bayron Vera Larraín (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Matías Arriagada Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Bryan Vargas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Marcos Mansilla (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Jorge Coronado (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Vicente Tirabanti (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Villalobos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- José Aguilera Tapia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Óscar Hernández Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Piero Gárate Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- José Luis Silva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alexander Concha Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Yicell Silva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Alexander Corro (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Estéfany Vargas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Candy Schencke Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Blanco Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Isabel Saldivia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Vilches Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Orellana Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Flores Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Renato González Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Vargas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Camila Vergara Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Merino Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bárbara Hernández Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Katalina Jiménez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Génesis Palma Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Clara Elgueta Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Catalina Llancao Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Nicol Rival Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Karol Martínez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Huentelicán Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Nayeli Soto Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Yenifer Gelvez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Rayen Collipal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Yasna Oyarzo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Paula Yañez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Katherine Jiménez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Valentina Carcamo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Ortega Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Arias Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Valdivia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Romo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Valenzuela Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Manzano Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Méndez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ricardo Rosales Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Cerón (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Victoria Sosa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Nicolás Núñez Gutiérrez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jefferson Castillo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Pablo Abarzúa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Candy Schencke Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Valentina Calfui Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. María Gallardo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Yiccel Silva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- José Cárdenas Serón Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Celeste Yerio Oyarzún (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Nixa Vargas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Javiera Cárdenas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Barrientos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Urzúa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Ninoska Hernández Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Danilo Díaz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carín Najul (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Leonardo Povea Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
