- Felipe Alvarado Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Vidal Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Seura Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Ianna Jeraldo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 13. María Alejandra Leal (COL) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Paola Araos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nayeli Maluenda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Amanda Manque Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Berardo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Salvo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Antonella Puelles Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Dominique Luna Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daniela Ceballos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Clara Elgueta Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- María Navarrete Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Janis Marcoleta Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Guerra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- María Silva Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Camila González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Florencia Gálvez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Zamorano (2006) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Brayams Viveros Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Contreras (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Zacarías Abuhabda (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Yesenia Arenas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Katherine Muñoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Monserrat Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Tapia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Salvia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Mathías Suárez (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Gonzalo Villagra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Renato González Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Paulo Magalhães Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jason Flores Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Gabriel Sandoval Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Eduard Bello (VEN) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Michael Lepe Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Salvador Cordero Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Matías Parada Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Ballesteros Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Alexander Escobar Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Luis Valenzuela Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Ricardo Blanco (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Marco Collao Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Óscar Hernández Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Catherine Rodríguez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Contreras Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Nery Leyes (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nicole Delgado Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Katherine Carvajal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ariel Uribe Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Souper Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Gonzalo Freitas (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Adrián Cuadra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Orellana Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Iván Ledezma Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Leonardo Povea Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Ocampo (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Karina Zambra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Javiera Varas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Constanza Robles Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Nayelli Maluenda Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Ivo Fernández Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Amanda Manque Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Belén Rodríguez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian Díaz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bruno Pérez (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Orellana Riffo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Federico Bravo (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sindy Espinoza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sara Pulecio (COL) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Belén Riveros Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Imperiale Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bruno Liuzzi Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Valentina Contreras Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Lesly Olivares Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Tatiana Ariza (COL) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sofía Valderrama Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fernanda Castro Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
