- Bruno Gutiérrez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Miiko Albornoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Gutiérrez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Garrido Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Emiliano Amor (SIR) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Darko Fiamengo (2003) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Ulloa Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Anaís Cifuentes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Nicole Gutiérrez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Segovia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Martina Osses Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Aixa Helbringer Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Santiago Bravo (2004) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Miguel Toledo (2004) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Yáñez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 58. Byron Molina (Sub 21) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Pinto Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Suárez (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Michelle Olivares Acevedo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alan Saldivia (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Geraldine Leyton Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sofía Barrios Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fernanda Ramírez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Dahianna Bogarín (PAR) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Erick Wiemberg Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ramiro González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías de los Santos (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Michelle Olivares Acevedo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alexia Gallardo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Corina Clavijo (COL) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Fernanda Hidalgo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Fernanda Ramírez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Corina Clavijo (COL) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Carolina Frisanco Pardal (BRA) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diana Díaz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicole Gutiérrez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jonathan Villagra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian Riquelme Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Isla Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
