- Francisco Alarcón Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Iván Villalba Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Pryscilla Aranibar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rachel Rubio Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Yerco Oyanedel Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian Toro Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Priscila Araníbar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Anabel Guzmán (VEN) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Millaray Orellana Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Annaís Valenzuela Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ivette Campos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Daniela Muñoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fernanda Moya Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Sandoval Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Bechtholdt Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jens Buss Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Aníbal Gajardo (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Castro Campos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Torres (2006) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Anderson Escobar (2007) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Pía Jofré Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Emanuel Hernández (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Krishna Soto Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Segovia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicole Cornejo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Valencia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Martina Ríos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Valenzuela (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Navarrete (2004) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Aaron Astudillo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Christopher Barrera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- José Tiznado Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Christian Moreno (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Fernández Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Oliva Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermina Cotellessa (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Isabella Ospina (COL) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Martina Osses Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Antonio Castillo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Villarroel (2009) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Nelson Sepúlveda Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cristhofer Mesías Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Vasquez (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Ronaldo Abarca Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Víctor Hugo Sarabia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Nicohlas Muñoz (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 33. Marcos Guzman (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Alexander Leonel Corro (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Miguel Paredes (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Ureña Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Diego Cariman (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Gutiérrez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Israel Poblete Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 20. David Muller (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Farías Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carla Contreras Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Valeria Nuñez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Cañete (PAR) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Ragusa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Andy Aguilera (Sub 20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Vásquez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Valdés Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Marylin Villegas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Andrea Riquelme Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Nicole Lazo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Yodilan Cruz (2004) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Pacheco Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Iván Smith (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Cristian Maidana (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego González Saavedra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Leslie Alarcón Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Marilyn Villegas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Belén Ormeño Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Annais Valenzuela Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriela Segura Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Sasha Carrasco Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Antonia Figueroa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Belén Flores Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Mariana García Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Victoria Crespo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Patricia Godoy Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Pryscilla Aranibar Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Maria Crespo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nadia Toro Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Paulina Lara Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Javiera Bravo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nicole Albornoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandra Riquelme Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Juan Ignacio Vieyra (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nelson Sepúlveda Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Camargo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mauro González (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Fredes Morales Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Lucía Adriana Ledezma (COL) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mariela Garate Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Orellana Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Garrido Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Thiare Reyes Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Anaís Valenzuela Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Leonardo Valencia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Walter Maximiliano Rueda (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luciano Ortega (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Escarlet Ampuero Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Lucía Adriana Ledezma Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Muñoz Jiménez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Vásquez (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Oliver Ramis (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jhoyner Gómez (COL) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Agustina Núñez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Leandro Navarro (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Milan Roki (2007) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Axel Fuentes (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Sepúlveda (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
